,0
0,1329158.3540104865
1,1324888.9584639578
2,1333771.1967004028
3,1332851.565729163
4,1330384.5071844223
5,1338285.403153847
6,1333743.481050259
7,1339710.0830153811
8,1338123.1200303463
9,1337358.2238544365
10,1344849.0162963027
11,1350093.7103981157
12,1348402.9508111756
13,1340324.7959566943
14,1342379.0097719713
15,1334384.3467622346
16,1336324.7865804452
17,1334988.482537052
18,1335285.0355370517
19,1336305.1385370516
20,1337182.6545370515
21,1338943.8265370512
22,1338268.5195370517
23,1334723.3165370517
24,1333413.6785370517
25,1331803.2055370517
26,1323833.2299270518
27,1323824.6199270517
28,1328864.6699270518
29,1328291.1799270518
30,1331999.9999270518
31,1316761.9799270518
32,1309029.2699270518
33,1310350.8799270517
34,1320774.2499270518
35,1313509.6499270517
36,1311997.4999270518
37,1313992.589927052
38,1313029.9199270518
39,1316595.9599270518
40,1316652.6399270517
41,1321478.8499270517
42,1318987.6799270518
43,1304948.8799270517
44,1309136.9799270518
45,1308568.7799270519
46,1309418.6799270518
47,1326221.7299270518
48,1321856.2199270518
49,1325459.7799270519
50,1329075.359927052
51,1334066.9899270518
52,1335119.0299270519
53,1335611.6499270517
54,1335846.4899270518
55,1331365.6899270518
56,1331144.9799270518
57,1329019.0299270519
58,1326602.2999270519
59,1329003.6499270517
60,1332204.9899270518
61,1332319.3499270517
62,1340884.0999270517
